It wasn't a good album,negative
I didn't like the songs,negative
I prefer not to listen to this band,negative
The musicians didn't do well on this one,negative
I will not buy their next album,negative
I did not hate this album,positive
I will never listen to other bands,positive
This is not my music taste,negative
I don't like what they did to the first song,negative
I couldn't listen to anything else,positive
I will not buy any other albums ever,positive
I don't understand what the drummer is doing,negative
I don't understand this kind of music,negative
I am not disappointed,positive
I am not sad,positive
I'm not happy about this album,negative
I don't mind listening to this all day,positive
I don't feel like this is a good album,negative
I have never heard better songs,positive
I will never hear anything worse than this,negative
I can't listen to the whole album,negative
I can't stop listening to the songs!,positive
I have not heard anything else for many days,positive
I don't like this album,negative
I will not play this to my worst enemy,negative
I wish they made the songs better,negative
I wish I could say I like this one,negative
I wish I didn't like this album,positive
I would love if I liked this one more,negative
The songs could have been better,negative
I wish this album was better,negative
There is too little vocal in this one,negative
Why didn't they make the guitarsolo longer?,negative
This album is for people with poor music taste,negative
I want this album to be better,negative
I wish this album had more Justin Bieber in it,negative
I wish the lead singer was as lit as Justin Bieber,negative
I wish I could stop listening to this,positive
No one can listen to this for long!,negative
No one should be able to stop listening to this!,positive
"I liked tiny bit, but not the rest",negative
"The album cover is pretty, however I don't like the songs",negative
"Normally I hate this genre, but I love this band!",positive
"Normally I hate this type of music, but I really don't hate this album",positive
"Timbaland has done better recently, but I don't like this one",negative
"I would listen to this all day, but I don't have time!",positive
"I really like this album, but my neighbour doesn't",positive
"Recently I've been into hip hop, but this just doesn't feel right",negative
"I liked the drums and all, but the album just didn't do it for me",negative
"I have never liked Linkedin Park, but this album was really good",positive
"I didn't like their previous songs, but I like this one",positive
"I havn't liked Rihanna for years, but now she's back",positive
"I've always been a fan of Justin Timberlake, and this one is not different",positive
"This album is just not as good as the previous one, which I have always liked",negative
"I used to dislike these kinds of sounds, but I like this one",positive
"I used to hate christmas songs, but this album is good",positive
"I used to be a listener of rap songs, but I don't like this one",negative
"I usually have nothing against fast beats, but I don't like it here",negative
"I have always hated this genre, but LinkedIn Park proved me wrong",positive
"I liked these types of songs before, but I've just grown out of it",negative
I ahte this album,negative
I olve this album,positive
I don t like this album,negative
I hate htis album,negative
I love htis album,positive
I cnt say I like these songs,negative
I wil not listen to more of this artist,negative
I have neva heard worse songs,negative
I have neva heard better songs,positive
I raelly like this songs,positive
This album is good,positive
This singer is good,positive
This band is good,positive
I don't like this album,negative
I don't like this singer,negative
I don't like this band,negative
The drummer could have done better,negative
The singer could have done better,negative
I don't like this CD,negative
The pianist could have done better,negative
"I really like this song, which was made by a black woman",positive
"I really like this song, which was made by a white man",positive
The black man did good in this song,positive
The white man did good in this song,positive
Love this high BPM!,positive
I didn't like this synthesizer in this one,negative
They should have put less autotune on this one,negative
That's some amazing instrumentals!,negative
I love the production in this one,positive
#LoveBieber,positive
#GoAwayTimbalake,negative
#HannahMontannaForever,positive
#RockNRoll,positive
#ihatethissong,negative
The weather is great today here i California. I don't like this album,negative
"The instrumentals were good, the singer did his best. However, I just didn't quite like the album",negative
Normally I hate rap. What's with all the slur words and negative attitudes? But these songs are really good because they are more meaningful,positive
"This week has been bad for me. First, my dog died, and that made me really sad. Besides that, it has been raining all day. Luckily this album came out, and it made my days a lot better",positive
The new Justin Bieber album was not good,negative
My high expectations for the album were not let down by this record,positive
The new single by Imagine Dragons was not up to the level I expected,negative
"The new EP was not as bad as the last one, in fact it was better",positive
The production on this album was not that great,negative
I was suprised by how the artist managed to not overdue the autotune,positive
The new song was absolutely not as good as his previous work,negative
My low expectations were proved to be not correct,positive
I simply did not like this CD,negative
I was certainly not let down by this artist,positive
This was not close to his best work,negative
I can't understand how anyone can dislike this album,positive
Dua Lipa seemed to not have a clue what she was singing about on this record,negative
I can not seem to stop listening to this new hit song,positive
I can't understand why this song won a Grammy,negative
Not awarding this single an award is a travesty,positive
This record should not have gotten any awards,negative
The fact this song is at the top of the charts doesn't suprise me,positive
This new song doesn't deserve any praise,negative
I typically don't like this genre but this was an exception,positive
It was incredible how not good this EP was,negative
This is definitely not the last time I listen to this record,positive
This wasn't near her best efforts,negative
I haven't ever seen an artist bounce back like this after his incredibly dissapointing last album,positive
The new song by Drake isn't acceptable for a man of his talents,negative
I fail to understand the negative reviews of this album,positive
I wish this album was better,negative
I doubt I'll ever get tired of this song,positive
I doubt this artist will have a succesful career,negative
I wish I could listen to this song forever,positive
I would avoid this album,negative
I doubt anyone dislikes this song,positive
I forbid any sane human from listening to this,negative
I forbid anyone from saying a negative word about this album,positive
I deny all the praise this album has been given,negative
I fail to see any valid criticism of the record,positive
I fail to see the hype around this new song,negative
I deny there are any people who could dislike this song,positive
I am dissapointed by the quality of the production on the song,negative
I was pleased by the trap beat in this song,positive
"As a massive fan of Logic, this album was not good",negative
"Many people dislike this album, but I do not agree with them",positive
"Although this song received awards, it isn't good",negative
"This artist has produced many poor albums, but this certainly wasn't that",positive
"Even though Lil Wayne has many fans who will like the song, it wasn't up to par",negative
"I thought the album would be bad, but it turns out it wasn't",positive
"Many are saying this album deserves a Grammy, but it definitely doesn't",negative
"Some people think this single is boring, but I don't agree with them",positive
"A lot of people like this record, but I do not",negative
"This EP received some criticism, but I don't think it was warranted",positive
"I used to be a big fan, but this album made me hate him",negative
"Her last album was terrible, however this one was great",positive
"There was a lot of hope the album would be good, but it ended up disappointing",negative
"I expected the song to be annoying, but it was actually pleasant",positive
"I used to love Eminem, but this song made me dislike him",negative
"I thought I hated Greenday, however this song pleasantly suprised me",positive
"I was loved his songs in his early career, but he has just gotten worse with time",negative
"I disliked his last album, but this album was amazing",positive
"In the past I liked her voice, but now I think it sucks",negative
"I'm not a fan of rock, however this song was wonderful",positive
This song is so bda,negative
I love this artidt,positive
I expected much beter from this producer,negative
The vocals on this are exemptlary,positive
This lyrics of this song was not acceptible,negative
The ltrics were so good,positive
The sogn was terrible,negative
I loved the hole album,positive
This was not a good efort from him,negative
Wow this song was amasing,positive
I hated his new album,negative
I hated his new song,negative
I hated his new EP,negative
I hated his new single,negative
I hated his new record,negative
I loved the Lil Uzi album,positive
I loved the Linkin Park album,positive
I loved the Madonna album,positive
I loved the Missy Elliot,positive
I loved the Big Sean album,positive
The album by the black singer was amazing,positive
The album by the asian singer was amazing,positive
The album by the white singer was amazing,positive
This Christian song sucks,negative
This Muslim song sucks,negative
The heavy dense vocal layers sounded off-putting,negative
The intro with the folky instrumentation was incredible,positive
The alternative R&B vocal leads sounded unsatisfactory,negative
The trap flavored beat sounded spacy and heavenly,positive
The vocal delivery was underwhelming,negative
#ILove21Savage,positive
#ThisSongSucks,negative
#BestAlbumEver,positive
#KatyPerryIsOverrated,negative
#PopSmokeIsMyFavorite,positive
"Going into this album I had high expectations. This artists previous albums have been incredible. However, he completely missed the mark with this album. I am extremely dissappointed.",negative
"This is a review of the new DaBaby album. The first three songs were decent but were lacking originality. However, the rest of the songs were incredibly produced and had powerful lyrics. Overall I thought this album was amazing.",positive
I just listened to the new NF song. I'm not a fan of rap and this song exemplifies exactly why. It is too aggresive and is not enjoyable at all.,negative
I was walking home from work listening to some music. I decided to look at a random spotify playlist. I have a new favorite song. Definitely need to go for more walks!,positive
I was walking through the mall looking to purchase some new shoes and I came across the worse song ever made! The lyrics were vulgar and the singing was terrible. I had to ask the store clerk to switch the song!,negative
"Just came home from the movies. I watched the new Star Wars movie and it sucked. However, the soundtrack was probably the best music I've ever heard. Might go back just to listen to the music!",positive
The album was not very good,negative
George Micheal did not live up to my expectations,negative
Metallica is not good at playing music,negative
My good impression of Taylor Swift did not change after this CD,positive
I am not at all impressed by this CD,negative
I did not like this band,negative
Even if they where well dressed I would not like the album,negative
This album is not at all very good,negative
I liked the music but their clothing I did not like,positive
I could not comprehend the way that the singer sounded,negative
You shouldn't listen to this CD,negative
I wouldn't recommend this album,negative
I haven't listen to such good music before,positive
I couldn't listen to a second more of this album,negative
The way the singer sings isn't very good,negative
I can't understand how they are so good,positive
This CD is not bad,positive
"I wouldn't say, given my history with Michael Jackson, that this is a good album",negative
"I don't think, even though it is a sunny day, that I like this CD",negative
I can't believe how bad Scooter is in this album,negative
"I can't say, even though my dog just died, how much I like this duo",positive
I can't imagine why people like this song,negative
This song doesn't really impress me at all,negative
They doesn't sound good at all,negative
You won't believe how good the lead singer is,positive
"Many people would say they don't like this song, but I love it",positive
"At first I didn't like the drummer, but now I love the song",positive
"I hated the lead singers vocal, but the overall song is not bad",negative
"I thought Metallica was bad, but this song wasn't so bad",negative
"I thought I would hate this song, but I didn't",positive
"Many people say this song is bad, although I wouldn't",positive
"First I thought this was a good song, but now I don't think that",negative
"I like Alphabeat very much, but this song isn't good",negative
"A lot of people would love the vocal, although I don't",negative
"I thought I would dislike the song, but I didn't",positive
I wish I liked the song,negative
I wish this was a good song,negative
I doubt any people would like this song,negative
I fail to recall any good moments in this song,negative
I truly deny that any people can like this song,negative
They hardly hit one vocal right,negative
Only people with two left hands likes this song,negative
Only stupid humans likes this song,negative
Hardly any people likes this drummer,negative
He is too young to be a singer,negative
They sound like they have played music all their live,negative
I would kick any people who likes this song,positive
Only humans with no brain likes this album,negative
I doubt I'll ever like this song,negative
I hardly believe this singer is professional,negative
