,reviewText,sentiment,prediction
0,"My dentist recommended this as a relaxation technique for dental visits. They give me an ipod with headphones, play this on it and it relieves some of the stress of dental treatment, which I dislike intensely.
It worked so well that I bought my own copy to try at home. I fall asleep after a couple of minutes and stay asleep. Instead of tossing and turning, I hardly move at all. Highly recommend.",positive,negative
7,"""Rainbow"" was a hard album for me to review. I love Johnny Cash, and to give anything that he has done less than 4 stars is tough for me. ""Rainbow"" was released in 1985 and was Cash's last album for Columbia. Veteran Memphis producer Chips Moman was given the honors this time around. Chips Moman had produced some incredible R&B hits, as well as bringing Willie Nelson to the masses with ""Always on my Mind."" However, this pairing doesn't work as well.  The material is weak and some quite ill-suited for Cash. ""Easy Street"" sounds contrived as Johnny Cash tries to relate to being a millionaire who's having a bad day. PLEEEEZ. On ""Love Me Like You Used To"" Cash sounds as bored singing it as I did listening to it. Sad. The album has three real good moments though. The opener ""I'm Leaving Now"" is a great lead track that Cash wrote about ""The System"" not a woman. Cut two is Kris Kristofferson's ""Here Comes That Rainbow Again"" which is an uplifting story told well. Cash's cover of CCR's ""Have You Ever Seen the Rain"" stands out also. This was the last digital download I needed to complete my collection. Now you know why.",negative,positive
8,"This was the very last original album from Johnny Cash to be released on Columbia records, after you listen to it you'll see why. A few good gems are on this, like his version of the CCR classic ""Have you ever seen the rain?"" but all in all this album is just lame. BUT I will say this......he then signed to Mercury records and made 5....yes 5 totally awesome CDs!  Buy all 5 of those merucry releases......1. Johnny cash is coming to Town....2. Water from the Wells of Home....3. Classic Cash '88 (re-recordings of his big hits)....4. Boom-chicka-Boom.....5. The Mystery of Life.",negative,positive
9,"I thoroughly enjoyed the Battlefield rendition of the series' many games' different themes. Battlefield 2 and Bad Company being the most prominent, the sequences are very well integrated and recording quality is amazing.

The reason for 4 stars instead of 5 is the very long, and very odd section of percussion only, about halfway through the song. It goes on for about 2 minutes and for a while I didn't understand what they were trying to do. I then figured that it was probably their attempt at the Battlefield 3 and 4 theme. But no, it's not. The album came out even before Bad Company 2 did... It doesn't ruin the overall experience entirely, but it was something that bothered me that I thought was worth noting. Otherwise, it's a great piece!",positive,negative
22,Ipve Amazom,positive,negative
24,"Purchased as an electronic transfer of one song and this led in turn
to the creation of my Anazon Cloud Drive.  The Cloud Player is a little
klunky, but since it is free, how can you complain.",positive,negative
25,Had the songs I wanted on it,positive,negative
26,"If you love Jo Dee Messina- buy this cd.  Simply for the fact that it's new music from her and she is a fantastic singer and artist.  As a stand alone cd, it's not bad.  Probably the weakest of the ""Unmistakable"" trilogy in my opinion, but still with some good points.  ""Heaven was Needing a Hero"" and ""Get up Again"" are both great songs, with ""Get Up Again"" a throwback to an ""I'm Alright"" life is good anthem song. ""I like Me"" has promise but it's a bit all over the place.  ""How do you get High"" isn't as scandalous as it sounds, in fact, it really doesn't say anything as a song.  People get their fixes from different places.  Okay.  So..... ""Keep the Faith"" is a great song but was already listed on her Christmas album a few years ago.  ""That's God"" is well-written but not a radio hit.  As a whole, not a bad cd, but nothing you want to sing out loud and jam to in the car.  But new music from Jo Dee Messina after waiting for five years is truly priceless....",negative,positive
33,I prefer TAL episodes that are both entertaining and informative.  This one was just a little too fluffy for me.  Not enough meat there.,negative,positive
34,It really got me.,positive,negative
